item_id,verdict,defect_type,borderline,note
Q001,gold_defective,wrong_grouping,no,题目要符合条件的国家总数4，金标却按国家返回厂商数4、4、3、5四行，缺少对合格国家的外层计数。
Q002,question_underspecified,,yes,胜场最多者为Angelique Kerber（22胜），但其比赛记录有12个积分值（3590至8000），题目未指定积分时点，金标任取3715。
Q003,question_underspecified,,yes,题目未明确两位导演是分别有作品在同一频道播出还是共同执导作品，金标采用前一种解释并返回MTV Dance、United Kingdom。
Q004,gold_correct,,no,按实际战役标识核验，排除关联English Channel失船的战役后剩Adrianople、Rusion、Serres三场，与金标返回的名称、结果及保加利亚指挥官一致。
Q005,gold_defective,other,no,机场城市实际存为带尾空格的Aberdeen，航班起飞机场代码又带前导空格，未清理空白使连接和筛选失配，金标返回0而规范化后为21班。
Q006,gold_defective,other,no,机场城市实际存为带尾空格的Aberdeen，航班目的机场代码又带前导空格，未清理空白使连接和筛选失配，金标返回0而规范化后为21班。
Q007,gold_defective,wrong_grouping,no,符合厂商数大于2的国家共有4个，金标返回的是各国厂商数4、4、3、5，未汇总为题目要求的国家数量。
Q008,gold_correct,,no,两个分支均限定IsOfficial为T，交集确为Canada、Seychelles、Vanuatu，当前库国家名称唯一，不发生跨实体误配。
Q009,gold_correct,,no,按semester_id取硕士与本科入学记录的交集得到13，对应fall 2018，正确标识同时有两类学生入学的学期。
Q010,question_underspecified,,yes,republics可指GovernmentForm精确为Republic的46国或包含Federal／Islamic Republic的49国，平均寿命分别约50.8435和51.0612，金标采用前者。
Q011,gold_correct,,no,以全部体育场减去2014年办过演唱会的体育场，实返6个名称，与按体育场主键核对的排除结果一致。
Q012,gold_correct,,no,Age为整数，金标返回全部6名歌手的姓名、国家和年龄，并按52、43、41、32、29、25岁降序排列。
Q013,gold_correct,,yes,按模式中唯一对应的独立年份IndepYear解释题目中的founded，严格筛选大于1950并返回110个国家名称，题目未另给建国日期字段。
Q014,question_underspecified,,yes,7名教师来自7个不同地点，频数均为1，题目未说明是否须列全并列最多地点，金标仅任选Turton Urban District。
Q015,gold_defective,wrong_or_negated_filter,no,治疗累计费用超过1000的犬为Troy、Lyric、Evangeline，金标使用NOT IN反而排除这3只并返回其余12只。
Q016,gold_correct,,no,最新治疗时间为2018-03-24 22:25:58，费用407，按日期降序取首条的结果与独立核验一致。
Q017,gold_correct,,no,航空公司名称与uid连接匹配，JetBlue Airways在航班表有100条记录，金标正确返回100。
Q018,gold_defective,wrong_grouping,no,无论最高占比指国内主导还是各国间最高，题目要求国家总数，金标却返回28行各为1的分组计数且未应用最高占比筛选。
Q019,gold_correct,,no,3只宠物的重量为12、13.4、9.3，严格大于10的有2只，金标正确返回2。
Q020,question_underspecified,,yes,未说明无语言记录的国家是否算不说英语，金标仅在已有语言记录的国家中取差集得173国，包含另6个零人口国家时为179国。
Q021,question_underspecified,,yes,any country可解作至少一个欧洲国家或所有欧洲国家，金标以欧洲最小面积作阈值取前者得238国，后一解释应以最大面积作阈值得0国。
Q022,question_underspecified,,yes,库中Aruba、Netherlands Antilles和Netherlands的元首都为Beatrix，题目未确定单一国家或去重口径，金标返回三地官方语言并重复Dutch。
Q023,gold_defective,other,yes,each person要求按歌手逐人列出场次，内连接只返回5名参演歌手，遗漏没有演唱会记录的Joe Sharp及其0场计数。
Q024,gold_defective,wrong_grouping,no,题目要求国家总数，金标却给28个国家各自的计数1和西语比例，既未汇总国家数也未筛选主导语言，法国0.4%等明显不符项亦被包含。
Q025,gold_correct,,no,本库最年轻歌手唯一，为25岁的Tribal King，其歌手记录仅有一首Love、发行年2016，金标完整返回可用歌曲信息。
Q026,gold_defective,other,yes,仅学生1002 Tracy符合有狗无猫，因其有两只狗，未按学生去重的连接重复返回同一人的Tracy、19两行。
Q027,gold_correct,,yes,实际年龄均为1至9的单字符数值文本，金标与显式数值比较均得到9只低于平均年龄约5.0667的犬，本库结果正确。
Q028,gold_correct,,no,europe与库存小写值一致，连接欧洲国家及厂商后按国家统计，满足至少3家的是france和germany。
Q029,gold_defective,text_column_numeric_or_ordering,no,Horsepower是TEXT且含字符串null，文本降序选中马力缺失的ford pinto；有效数值最大为115，属于citroen及saab而非ford。
Q030,gold_correct,,no,题目明确要求两年均获胜，按2013和2016获胜者取交集得到5人，且已核实这些姓名与选手ID无冲突。
Q031,gold_correct,,no,2014和2015办过演唱会的体育场交集仅为Somerset Park，地点Ayr United，与主键级核对一致。
Q032,question_underspecified,,yes,平均人口未说明取全球还是区内，district同名跨国时是否合并也未交代，金标采用全球平均约350468.22并按district名称分组。
Q033,gold_correct,,yes,本库最年轻宠物恰是唯一1岁犬，重量9.3，与限定dog后的答案一致，但金标没有显式犬类过滤，不能据此认定对其他数据也正确。
