item_id,verdict,defect_type,borderline,note
Q001,gold_defective,wrong_grouping,no,题目要满足条件的国家总数4，金标却按国家分组返回4、4、3、5四个车企数，缺少对合格国家的外层计数。
Q002,question_underspecified,,yes,Angelique Kerber以22场胜利居首，但其胜场记录含12种积分值（3590至8000），题目未指定积分时点，金标取出的3715只是其中一次记录。
Q003,gold_correct,,no,按频道分别核验两位导演的作品后，唯一同时满足条件的频道为707，输出MTV Dance及United Kingdom正确。
Q004,gold_correct,,no,按战役主键核验不存在English Channel失船记录的战役，结果与金标返回的三场战役及所要求字段一致。
Q005,gold_defective,other,no,字符串空白未规范化：航班起飞机场代码有前导空格且城市存为Aberdeen尾随空格，原查询返回0，TRIM后两座对应机场共21班。
Q006,gold_defective,other,no,字符串空白未规范化：航班到达机场代码有前导空格且城市存为Aberdeen尾随空格，原查询返回0，TRIM后两座对应机场共21班。
Q007,gold_defective,wrong_grouping,no,满足车企数大于2的国家有4个，金标却返回各国车企数4、4、3、5四行，而不是国家总数。
Q008,gold_correct,,no,两个分支均正确限定官方语言标记T，交集为Canada、Seychelles和Vanuatu。
Q009,gold_correct,,no,按学位类型分别求已入学学期的交集得到semester_id=13，对应fall 2018，正确标识同时有硕士和本科生入学的学期。
Q010,question_underspecified,,yes,republics可指GovernmentForm精确类别Republic，也可包括Federal Republic和Islamic Republic，非洲两种口径分别为46国、49国且平均寿命不同，题目未明确。
Q011,gold_correct,,no,按体育场主键核验无2014年演唱会的场馆，得到的六个名称与金标一致，当前场馆名称没有同名冲突。
Q012,gold_correct,,no,Age为整数，六位歌手按52、43、41、32、29、25岁降序排列，姓名、国家和年龄投影齐全。
Q013,gold_correct,,yes,按本库IndepYear作为建国／独立年份的对应字段，严格大于1950的110个国家均被返回；建国与独立是否完全同义存在措辞边界。
Q014,question_underspecified,,yes,七位教师的家乡各出现一次，七地全部并列最常见，题目未说明应返回全部并列者还是任取一个，金标只取Turton Urban District。
Q015,gold_defective,wrong_or_negated_filter,no,题目要求治疗累计费用大于1000的狗，应为Troy、Lyric和Evangeline三只，NOT IN却反向返回其余12只。
Q016,gold_correct,,no,按完整治疗时间降序，唯一最新记录为2018-03-24 22:25:58，费用407，与输出一致。
Q017,gold_correct,,no,按航空公司主键连接且名称字面量匹配，JetBlue Airways共有100条航班记录。
Q018,gold_defective,wrong_grouping,no,不论largest percentage指国内语言占比最高还是跨国最高，金标均未作相应比较，且返回28行逐国的1和占比而非题目要求的一个国家总数。
Q019,gold_correct,,no,直接按数值weight>10筛选并计数，两只宠物符合条件，结果2正确。
Q020,question_underspecified,,yes,题目未说明无语言记录的国家是否计入不说英语的国家，金标在有语言记录的国家中返回173国，而以country为全集作NOT EXISTS会得到179国，多出的六国人口均为0。
Q021,question_underspecified,,yes,any可读作至少一个或任意每一个，金标用欧洲最小面积0.4实现前者并返回238国，后者须比较最大面积17075400且当前无结果。
Q022,gold_correct,,yes,正确限定HeadOfState=Beatrix且IsOfficial=T，四行语言对应三个国家／地区的官方语言记录，重复Dutch来自不同实体。
Q023,gold_defective,other,no,for each person要求逐位歌手统计，内连接漏掉没有演唱会的Joe Sharp及其计数0，只返回5位而不是全部6位。
Q024,gold_defective,wrong_grouping,no,金标返回28个逐国的计数1及西语占比，既未判定西语占主导，也未给国家总数；按国内占比最高有21国，按过半有20国。
Q025,gold_correct,,no,唯一最年轻歌手为25岁的Tribal King，本schema每位歌手行记录一首歌，正确返回Love及2016。
Q026,gold_defective,other,yes,学生1002 Tracy符合有狗无猫，但因拥有两只狗被连接重复输出两次，题目按学生要姓名和年龄，应按学生主键去重。
Q027,gold_correct,,no,实测平均年龄为5.066666666666666，按显式数值转换核验仍有9只狗低于平均值，当前一位数年龄文本未改变结果。
Q028,gold_correct,,no,欧洲字面量与库存小写一致，按国家统计车企后正确返回有3家及4家车企的france和germany。
Q029,gold_defective,text_column_numeric_or_ordering,no,Horsepower是TEXT且含字符串null，降序首先选到缺失马力的ford，数值核验四缸车最大已知马力115对应citroen和saab。
Q030,gold_correct,,no,分别提取2013年与2016年的胜者后取交集得到五人，当前winner_name与winner_id对应关系无同名异人冲突。
Q031,gold_correct,,no,按场馆主键核验2014年及2015年均有演唱会的场馆仅Somerset Park，名称和地点Ayr United正确。
Q032,question_underspecified,,yes,题目未限定平均值是全库还是区内，也未说明同名跨国district是否合并，金标采用全库平均并按District文本分组，区内平均会产生不同结果。
Q033,gold_defective,wrong_or_negated_filter,yes,题目限定dog但金标在全部pets中取最小年龄，缺少PetType过滤；当前最年轻宠物恰好是dog，输出9.3与正确答案偶合。
Q034,gold_defective,wrong_grouping,yes,按语言种类多样性应对Language去重，金标却计国家—语言记录数；非洲310条记录实际为215种语言，两种计数当前恰均使Africa居首。
Q035,question_underspecified,,yes,Students同时有current_address_id和permanent_address_id，题目未限定按哪种居所统计，金标按现住址选9，而永久住址下5与9并列。
Q036,gold_correct,,no,沿制造商、车型、车辆和年份的关联筛选1970年并去重，返回有可关联1970年车辆记录的11个制造商名称。
Q037,gold_defective,case_sensitivity,no,库中家乡为Little Lever Urban District，使用全小写不等式使Anne Walker也被保留，金标返回7人而非应有的6人。
Q038,gold_defective,other,no,SourceAirport带前导空格使两个分支均为空，TRIM后应返回American Airlines、Frontier Airlines、JetBlue Airways和Virgin America四家公司。
Q039,question_underspecified,,yes,any未明确存在量词或全称量词，MIN对应大于至少一个欧洲国家并返回238国，按大于所有欧洲国家应改用MAX且结果为空。
Q040,gold_defective,wrong_extremum,no,最年轻应取最小年龄1，其主人姓Nicolas，金标却取最大年龄9并返回Feil、Fisher、Rippin三位主人的姓。
Q041,gold_correct,,no,州名Hawaii和Wisconsin均与库存字面量一致，正确返回两位符合条件专业人员的电子邮箱。
Q042,gold_correct,,no,三个连接键及Asia、Chinese、T过滤正确，DISTINCT按题意返回359个不同城市名称。
Q043,gold_correct,,yes,以schema中的date_left对应离校／毕业时间，最早记录为Timmothy Anna Ward且三个姓名字段齐全，但库中没有单独的毕业状态来区分其他离校原因。
Q044,gold_correct,,no,严格筛选pet_age>1，正确返回宠物2001和2002的编号及体重12.0、13.4。
Q045,gold_correct,,no,按Aruba关联语言表，四条语言记录的Language均非空，COUNT(Language)=4正确。
Q046,gold_correct,,no,库存Written_by精确为Joseph Kuhr的动画有两条，也没有被等值过滤漏掉的含该姓名联合署名记录。
Q047,gold_correct,,no,weight为数值列，严格大于10的宠物有两只，计数正确。
Q048,gold_correct,,no,Lettice及HMS Atalanta对应同一战役id=8，交集正确返回Siege of Constantinople及日期1235。
Q049,gold_correct,,no,按Citizenship统计，United States有4位歌手而其他国家各1位，是唯一众数。
Q050,gold_correct,,no,正确筛选grade=10并返回Haley、Andrew、Kris和Brittany四位学生的姓名。
Q051,gold_defective,other,no,逐人演唱会计数的内连接遗漏零场次歌手Joe Sharp，应以全部歌手为起点保留其0场记录。
Q052,gold_correct,,no,车辆Make字面量精确匹配amc hornet sportabout (sw)，按车辆主键关联所得Accelerate为13.5。
Q053,question_underspecified,,yes,Friend未说明存储有向提名还是单份无向友谊，按student_id一侧计数Kyle为1，按两端视为朋友则为3，金标只实现前者。
Q054,gold_defective,wrong_or_negated_filter,no,WHERE先仅保留Spanish再逐国MAX不会判断西语是否占比最高，金标返回所有28个有西语记录的国家，含Aruba的7.4%等明确非主导情况。
Q055,question_underspecified,,yes,Friend关系方向未定义，Kyle有1条出向记录和2条入向记录，金标按出向朋友计1，无向朋友口径应为3。
Q056,gold_defective,case_sensitivity,no,isofficial、language和continent的库存值分别为T、Chinese、Asia，全小写字面量均不匹配，金标空集而正确大小写查询返回359个城市名称。
Q057,gold_correct,,no,Aruba的Papiamento占比76.7为唯一最高，按Percentage降序取首行正确。
Q058,gold_defective,other,no,OR中的重量条件不要求有制造商记录，但对CAR_MAKERS的内连接先删掉制造商缺失且重量>3500的hi车型，金标13种而独立求两条件并集应为14种。
Q059,gold_correct,,no,Continent的Asia字面量匹配，country中51条亚洲国家记录被正确计数。
Q060,gold_correct,,no,按车型所属制造商的国家关联并筛选库存usa，MODEL_LIST中对应13个车型，计数正确。
Q061,gold_defective,case_sensitivity,no,全小写little lever urban district不等于库存Little Lever Urban District，导致应排除的Anne Walker仍在7行结果中，正确应为6行。
Q062,gold_correct,,no,最大容量体育场为Hampden Park（52500），确实没有关联演唱会，COUNT(*)返回0正确而非空结果错误。
Q063,question_underspecified,,yes,any可表示至少一个或每一个非洲国家，金标比较非洲人口最小值0得到51个亚洲国家，按超过全部非洲国家则应比较111506000且仅6国。
