item_id,verdict,defect_type,borderline,note,expert1_verdict,expert1_borderline,expert1_note,expert2_verdict,expert2_borderline,expert2_note
Q003,question_underspecified,,yes,题目未明确要求同一频道分别播出两位导演的作品，还是播出两人共同执导的作品，参考查询只实现前者而题面不能排除后者。,gold_correct,no,按频道分别核验两位导演的作品后，唯一同时满足条件的频道为707，输出MTV Dance及United Kingdom正确。,question_underspecified,yes,题目未明确两位导演是分别有作品在同一频道播出还是共同执导作品，金标采用前一种解释并返回MTV Dance、United Kingdom。
Q022,question_underspecified,,yes,HeadOfState='Beatrix'匹配三个国家／地区，而题目用单数且未明确目标国家或语言去重口径，参考查询的四行结果仅对应一种解释。,gold_correct,yes,正确限定HeadOfState=Beatrix且IsOfficial=T，四行语言对应三个国家／地区的官方语言记录，重复Dutch来自不同实体。,question_underspecified,yes,库中Aruba、Netherlands Antilles和Netherlands的元首都为Beatrix，题目未确定单一国家或去重口径，金标返回三地官方语言并重复Dutch。
Q033,gold_defective,wrong_or_negated_filter,yes,题目明确限定dog，参考查询却在全部Pets中取最小年龄而缺少PetType='dog'条件，当前同得9.3只是数据上的巧合。,gold_defective,yes,题目限定dog但金标在全部pets中取最小年龄，缺少PetType过滤；当前最年轻宠物恰好是dog，输出9.3与正确答案偶合。,gold_correct,yes,本库最年轻宠物恰是唯一1岁犬，重量9.3，与限定dog后的答案一致，但金标没有显式犬类过滤，不能据此认定对其他数据也正确。
Q034,question_underspecified,,yes,“most diverse languages”未明确按不同语言种数还是语言使用分布衡量多样性，COUNT(*)仅计国家—语言记录且当前返回Africa不足以消除口径歧义。,gold_defective,yes,按语言种类多样性应对Language去重，金标却计国家—语言记录数；非洲310条记录实际为215种语言，两种计数当前恰均使Africa居首。,gold_correct,yes,金标数的是国家—语言记录而非不同语言，但当前Africa同时以310条记录及215种不同语言居首，实际返回大陆正确。
Q058,gold_defective,other,no,重量条件不依赖制造商记录，CAR_MAKERS内连接却排除了制造商记录缺失、重量4732的hi，完整OR并集应为14种而非13种。,gold_defective,no,OR中的重量条件不要求有制造商记录，但对CAR_MAKERS的内连接先删掉制造商缺失且重量>3500的hi车型，金标13种而独立求两条件并集应为14种。,gold_correct,no,制造商FullName为General Motors或车辆重量大于3500的OR条件及四表连接均正确，去重后得到13个车型。
Q070,gold_defective,wrong_or_negated_filter,yes,应先筛选PetType='dog'再取最小年龄，参考查询取的是最年轻宠物的体重，当前返回9.3不能消除缺失筛选的逻辑错误。,gold_defective,yes,缺少PetType=dog条件，实际计算最年轻宠物的体重而不是限定狗类；当前两者恰同为PetID=2003、体重9.3，属结果偶合。,gold_correct,yes,本库年龄最小的全部宠物就是1岁犬2003，重量9.3，金标实际答案正确，但未限定dog使其正确性依赖当前数据。
Q080,gold_defective,other,yes,“most languages”要求统计大陆内不同Language，COUNT(*)却重复计入同一语言在不同国家的记录，非洲310条对应215种且当前仍居首不代表查询语义正确。,gold_defective,yes,最多语言应统计不同Language而非国家—语言记录数，非洲实际215种语言却被COUNT(*)计成310；当前输出Africa与去重结果恰一致。,gold_correct,yes,COUNT(*)计算国家—语言记录而不是不同语言种数，但Africa在两种算法下都唯一居首（310条／215种），本库返回结果正确。
Q108,gold_defective,wrong_set_operation_key,yes,猫狗必须由同一StuID的学生同时拥有，按非唯一Fname取交集会误合并同名的不同学生，当前按主键核验也为空只是该错误尚未触发。,gold_defective,yes,猫主人与狗主人应先按StuID取交集再投影Fname，按Fname取交集可能拼接同名不同学生；当前按主键核验也为空，未出现实际误配，故标边界。,gold_correct,yes,按student_id核验确无同时养猫狗的学生，金标空集在本库正确；按Fname而非主键求交存在同名学生误配风险，但当前未触发。
Q137,question_underspecified,,yes,七个国家／地区人口同为0，题目指定返回三个却未给出并列取舍规则，参考查询返回其中三个但题面无法确定唯一的三国名单。,question_underspecified,yes,有七个国家／地区人口均为0并列最少，题目要求三个却未指定并列选择规则，金标返回其中三个，其他三元组合也同样符合人口排序。,gold_correct,yes,当前有7个国家人口并列为0，题目明确要3个，金标返回其中3个最低人口国家，未规定并列项内部的选择次序。
Q138,question_underspecified,,yes,“different versions”未定义按MakeId记录还是不同Make名称计数，ford对应53条与37种且两者均居首，结果相同不能确定题目所要求的版本口径。,question_underspecified,yes,different versions未定义为MakeId记录数还是不同Make名称，金标按记录数计ford为53而按不同名称为37，两个合理口径当前均由ford居首。,gold_correct,yes,按车型记录数ford以53条最多，按不同Make核验也以37款最多，虽然versions可有去重口径差异，本库返回ford在两种口径下都正确。
