item_id,verdict,note
AL0001,answers,按教师籍贯分组计数，符合问题。
AL0002,answers,按战役汇总关联死亡人数并筛选总数大于10。
AL0003,does_not_answer,同一学生Tracy因两只狗返回两次；未按学生去重。
AL0004,answers,定位Aruba并按语言使用比例降序取首项。
AL0005,does_not_answer,机场代码有前导空格，城市名有尾随空格；直接筛选或连接失配，规范化对照可返回实际记录。
AL0006,does_not_answer,机场代码有前导空格，城市名有尾随空格；直接筛选或连接失配，规范化对照可返回实际记录。
AL0007,does_not_answer,birth_date为YYYYMMDD整数；strftime返回全NULL，未实现年龄排序。
AL0008,answers,筛选2014年及以后，按场馆演唱会数降序取最大者。
AL0009,answers,返回Angola的地区和人口。
AL0010,answers,按国籍分组统计歌手数。
AL0011,answers,筛选法国歌手并计算年龄平均值、最小值和最大值。
AL0012,answers,在Volvo车型中按加速时间升序取气缸数。
AL0013,answers,交集正确要求同一地区同时具有两类店铺；实际无符合者。
AL0014,answers,筛选欧洲国家并保留至少3家制造商的国家。
AL0015,answers,按USA国家代码筛选并返回名字与出生日期。
AL0016,answers,按Captured处置状态统计船只。
AL0017,answers,容量区间筛选正确；库中无符合场馆。
AL0018,answers,按频道关联并返回Sky Radio频道的动画标题。
AL0019,does_not_answer,问题要求各人累计花费最大；SQL仅比较单次访问花费，未求和。
AL0020,answers,按年龄升序取最年轻歌手的歌曲及发行年份。
AL0021,answers,按剧集标题定位并返回周排名。
AL0022,does_not_answer,最早年份1970共有35辆车，LIMIT 1只返回其中一辆。
AL0023,answers,排除concert表出现过的场馆，返回无演唱会场馆名。
AL0024,answers,由指定剧集关联频道并返回系列名称。
AL0025,answers,关联航空公司并筛选United Airlines的航班号。
AL0026,answers,返回年龄超过全体歌手平均年龄的歌手歌曲。
AL0027,answers,正确筛选32岁或33岁的教师。
AL0028,answers,返回重量低于全体汽车平均重量的各车对应型号。
AL0029,answers,按成立年份降序输出乐团唱片公司。
AL0030,answers,按国籍分组统计人数。
AL0031,answers,按国籍分组统计歌手人数。
AL0032,answers,排除指定籍贯后返回教师姓名。
AL0033,answers,库中对应编剧为Joseph Kuhr；按该姓名计数为2。
AL0034,does_not_answer,内连接漏掉没有演唱会的歌手Joe Sharp，未覆盖每位歌手。
AL0035,answers,返回库中每个歌手国家及人数。
AL0036,answers,按国家聚合，正确使用制造商数大于3或含fiat的条件。
AL0037,answers,返回至少关联一家汽车制造商的国家名和ID。
AL0038,question_underspecified,“cheapest overall”未明确按平均费用、累计费用还是单次最低费用；SQL采用平均值。
AL0039,answers,按各国制造商数降序取最高者japan。
AL0040,question_underspecified,“average”未明确指全体城市平均人口还是各区内部平均人口；SQL采用全局平均。
AL0041,answers,按Ben Jones导演筛选动画标题。
AL0042,answers,筛选一级会员并汇总其各次购票支出。
AL0043,answers,使用OR筛选两位导演的动画。
AL0044,question_underspecified,“place”未说明按现住址还是永久住址统计；SQL选择current_address_id。
AL0045,answers,按学生当前住址计数，返回人数最多地址的ID和全部地址行。
AL0046,answers,排除俄罗斯国籍并返回姓名。
AL0047,does_not_answer,成立年份升序等于存续时长降序，与要求的存续时长升序相反。
AL0048,answers,按宠物年龄升序返回最年轻宠物的类型和重量。
AL0049,answers,返回Anguilla所属洲。
AL0050,answers,筛选猫或狗的主人并对学生名字去重。
AL0051,answers,返回USA球员的名字和出生日期。
AL0052,answers,筛选Central Africa地区并平均国家预期寿命字段。
AL0053,answers,正确使用严格人口上下界160000和900000。
AL0054,does_not_answer,Africa是Continent而非Region取值；错误筛选导致AVG为NULL。
AL0055,answers,按库中弃养标记1筛选，返回狗的名字、年龄和重量。
AL0056,does_not_answer,MPG为文本，MAX得到字符串'null'，不是数值最大油耗里程。
AL0057,answers,关联Sky Radio频道并返回其全部剧集名称。
AL0058,answers,筛选亚洲国家并按预期寿命升序取最短者。
AL0059,question_underspecified,问题中两位导演的“and”可指频道同时播两者或播其中任一者；SQL按任一者。
AL0060,answers,正确按Africa洲及Republic政府形式计算平均预期寿命。
AL0061,answers,排除2014年举办过演唱会的场馆。
AL0062,answers,返回Sky Radio频道的Content字段。
AL0063,answers,关联厂家与型号表，统计American Motor Company的型号数。
AL0064,answers,按动画标题关联频道并返回系列名。
AL0065,question_underspecified,“cheapest overall”未确定费用口径；SQL按最低单次治疗费用选择类型。
AL0066,does_not_answer,机场代码有前导空格，城市名有尾随空格；直接筛选或连接失配，规范化对照可返回实际记录。
AL0067,answers,按制造商分组返回全名、ID及型号数，实际覆盖全部22家。
AL0068,answers,使用洲与政府形式正确筛选并计算平均预期寿命。
AL0069,answers,从政府形式不是Republic的国家中排除记录有English的国家。
AL0070,answers,按主人Virginia州筛选，返回主人名字及其狗名。
AL0071,does_not_answer,库中洲名为'North America'；小写等值条件不匹配，汇总错误返回NULL。
AL0072,answers,排除Little Lever Urban District籍贯的教师。
AL0073,answers,按Aruba语言使用比例降序返回最普及语言。
AL0074,answers,正确返回非俄罗斯国籍的人名。
AL0075,answers,以库中完整动画标题匹配并返回所属频道系列名。
AL0076,answers,按比赛时长降序返回最长比赛胜负双方姓名。
AL0077,question_underspecified,问题漏掉比较词，未明确销量高于还是低于300000；SQL选择高于。
AL0078,answers,用差集返回养狗但不养猫的学生名字和年龄。
AL0079,answers,跨主人、狗和治疗表按主人汇总费用，取总额最高者ID及邮编。
AL0080,answers,关联国家语言，返回所在国家使用英语且人口最多的城市。
AL0081,question_underspecified,库中age与出生日期的年龄顺序冲突；题目未指定依据，SQL按最新出生日期选择。
AL0082,answers,正确统计Language为English的频道数。
AL0083,answers,筛选使用英语或荷兰语的国家，返回去重地区。
AL0084,answers,按出生日期升序返回最年长球员的名字和国家代码。
AL0085,answers,以LIKE筛选歌名含Hey的歌手姓名和国家。
AL0086,answers,按Aruba各语言使用比例取最大者。
AL0087,answers,筛选2014年及以后演唱会，按场馆计数取最多者。
AL0088,answers,关联车型与厂商，以General Motors或重量大于3500筛选并去重型号。
AL0089,does_not_answer,机场代码有前导空格，城市名有尾随空格；直接筛选或连接失配，规范化对照可返回实际记录。
AL0090,answers,筛选Todd Casey编剧的动画，返回其频道所在国家并去重。
AL0091,does_not_answer,同一养狗不养猫学生Tracy因两只狗返回两次，未按学生去重。
AL0092,does_not_answer,只要求在两个赛事各赢过一场，未限定夺冠；库中WTA记录为RR轮而非冠军。
AL0093,answers,从全部国家代码中排除记录使用English者。
AL0094,answers,按籍贯分组统计教师人数。
AL0095,answers,关联Volvo的各车，按加速时间最小值返回气缸数。
AL0096,does_not_answer,存在非英语语言不等于不说英语；该条件保留同时说英语的国家并大量重复。
AL0097,answers,正确统计9或10年级学生数。
AL0098,answers,以全体最小年龄筛选最年轻歌手的歌曲与发行年。
AL0099,answers,按人口160000至900000的区间返回城市名。
AL0100,answers,按国家统计语言记录数并取最多者。
AL0101,answers,按员工数降序取最多的博物馆ID和名称。
AL0102,answers,按不同籍贯分组统计教师数。
AL0103,answers,返回Aruba使用比例最高的语言。
AL0104,answers,按店铺Location分组计数。
AL0105,answers,使用交集筛选同时有Master与Bachelor项目学生注册的学期。
AL0106,answers,返回商品数量超过全部店铺平均值的店名。
AL0107,answers,按高清支持标记yes筛选并返回套餐和系列名。
